Title,Description,Location,Features,Date,Price
"3 bhk luxury flat with luxury furniture in mohali sec 125 , city heart","Buy your own flat stop living on rent., , SPECIAL LOCKDOWN OFFER , , Price 34.99/- lac only , Booking only 2100/- Rs ( only lockdown offers), , book your dreem home only 11000/- & get benifit  ^6 lakhs^ booking amount Refundable, , 3 bhk fully furnished flats in society  with furniture , We are providing you 24 hours security with watchman and cctv cameras., , Animinities are :-, 1. Double bed with box, 2.Metresses, 3. Lcd pannel with 32         ,      Inch lcd, 4. Wooden cupboards, 5. Fall ceiling work , 6. Modular kitchen , 7. Chimney , 8. Ro, 9. Gyser , 10. Tile work Car parking   facility  , , **No compromise with    quality  . A1  quality product is used , , Hospital,  college,  universities,  schools are nearby.  , 90% loan is  available  , 3.10/-akh govt.  Subcidy , You just have to pay only registry charges , No extra hidden charges like GST,  TLC, PLC","India, Punjab, Mohali",3 Bds - 3 Ba - 1125 ft2,2020-05-19T16:00:14+0000,"₹ 34,00,000"
house 20*30 main road 70.ft.say do Makan Kay bad ghar hay30ft.road.pay,"2  k.m  airport , 1  k.m  metro Station , 1  k.m  Kanpur road , , JK city ali nagar sunahra","India, Uttar Pradesh, Lucknow",2 Bds - 1 Ba - 600 ft2,2020-05-19T15:59:55+0000,"₹ 21,00,000"
1BHK FOR SALE,Resale 1 bhk in dosti mumbra,"India, Maharashtra, Thane",1 Bds - 2 Ba - 685 ft2,2020-05-11T01:24:21+0000,"₹ 47,00,000"
2Bhk Available for Sale at Auris Serenity Malad West Tower 1 with OC,"This is a Brand New Tower at Link Road Malad West Auris Serenity Ready to Move In with OC., , Multiple options available..., , Call for more info..","India, Maharashtra, Mumbai",2 Bds - 3 Ba - 1250 ft2,2020-05-19T15:59:39+0000,"₹ 2,65,00,000"
1Bhk Available for Sale Brand New Tower Chincholi Malad West,"1Bhk Available for Sale Brand New Tower ready Posession 22 Storeys Tower, , For 95,00,000/- only","India, Maharashtra, Mumbai",1 Bds - 2 Ba - 650 ft2,2020-05-19T15:59:39+0000,"₹ 95,00,000"
PATANCHERU LUXURIOUS APARTMENT FLATS FOR SALE@Gated community,"FLATS @ *PATANCHERU*, , 7 ACRES, 5F GATED COMMUNITY, LUXURIOUS AMENITIES, , *1_BHK  20.5L+3L( amenities)(650 SFT)*, , , *2_BHK    29 L+4L (910 SFT)*, , *3_BHK   41 L +4L(1300 SFT)","India, Telangana, Hyderabad",2 Bds - 2 Ba - 910 ft2,2020-05-19T15:59:27+0000,"₹ 29,00,000"
Sale 2 BHK 910 Sq Ft  Flat available in Patancheru at MPR Urban City,Sale 2 BHK 910 Sq Ft  Flat available in Patancheru at MPR Urban City,"India, Telangana, Hyderabad",2 Bds - 2 Ba - 910 ft2,2020-05-19T15:59:27+0000,"₹ 28,66,652"
910 Sq Ft  2 BHK Flat available for Sale,910 Sq Ft  2 BHK Flat available for Sale,"India, Telangana, Hyderabad",2 Bds - 2 Ba - 910 ft2,2020-05-19T15:59:27+0000,"₹ 28,66,652"
620 carpet | 2 BHK Apartment for Sale in Hinjewadi at Rs.48 Lac only,"Project Details:, , ITrend Homes is thoughtfully designed and located in Hinjewadi, Pune by Saheel Properties with their 7 years of real estate experience is offering spacious and aesthetically designed 1 BHK and 2 BHK apartments. ITrend Homes plot areas for its 1 BHK flat range approx. 500 sq. ft. and 2 BHK flat areas range from 606 sq. ft. to 648 sq. ft., , ITrend Homes apartments are designed with well planned aesthetic interiors like vitrified tiles flooring in every room, laminated flush doors, concealed copper wiring with circuit breakers, black granite kitchen platform with SS sink, good quality CP fittings, and branded fixtures etc.,         , ITrend Homes provides world class amenities for its residents like power backup, swimming pool, lift, security, club house, jogging & strolling track, outdoor tennis courts, private terrace & garden, park, reserved parking, service & goods lift, intercom facility, maintenance staff, gymnasium, kids play area, piped gas, rain water harvesting, water storage, RO water system, multipurpose courts, and waste disposal etc. among various others., , Highlights, Pune's First Convertible Homes, Convert your homes from 1 BHK to 2 BHK for free, Zero Wastage Space Homes with Trendy amenities in the heart of Hinjewadi, Infrastructure, National Highway 1 km | 10 min, Akshara Interna. 5 km | 20 min, Multispeciality Hospital 5 km | 20 min, Neighborhood, Nande 3 km | 15 min, Nerhe 3 km | 15 min, Godambewadi 3 km | 15 min","India, Maharashtra, Pune",2 Bds - 2 Ba - 837 ft2,2020-03-19T04:41:37+0000,"₹ 48,00,000"
910 Sq Ft  Property available for Sale in Patancheru at MPR Urban City,910 Sq Ft  Property available for Sale in Patancheru at MPR Urban City,"India, Telangana, Hyderabad",2 Bds - 2 Ba - 910 ft2,2020-05-19T15:59:27+0000,"₹ 28,66,652"
"$For Sale in  Patancheru, MPR Urban city","$For Sale in  Patancheru, MPR Urban city","India, Telangana, Hyderabad",1 Bds - 1 Ba - 650 ft2,2020-05-19T15:59:27+0000,"₹ 20,59,267"
"For Sale in  Kavesar, Thane West, Godrej Exquisite","For Sale in  Kavesar, Thane West, Godrej Exquisite","India, Maharashtra, Mumbai",2 Bds - 2 Ba - 655 ft2,2020-05-19T15:59:21+0000,"₹ 1,27,03,219"
"2 BHK  Flat for  Sale, Godrej Exquisite a  on a very low price in  Kav","2 BHK  Flat for  Sale, Godrej Exquisite a  on a very low price in  Kavesar, Thane West, Godrej Exquisite","India, Maharashtra, Mumbai",2 Bds - 2 Ba - 655 ft2,2020-05-19T15:59:21+0000,"₹ 1,27,03,132"
Sharvika Villa Offer Sale 3BHK Independent Villa,"CMDA APPROVED, CLEAR TITTLE, VASTHU COMPILED, CONSTRUCTED OF HIGH STANDARD, VILLA AREA - 950 SQ.FT. & BUILT UP AREA 1200 SQ.FT., Additional Cost - Registration + EB + GST, CONTACT. 994O1OO555, Varadharajapuram, West Tambaram., Near By Areas : Selaiyur, Manimangalam ,Chrompet and Pallavaram , Mudichur, Mannivakkam,, old perungalathur, vandalur,urapakkam, guduvanchery,","India, Tamil Nadu, Tambaram",3 Bds - 3 Ba - 1200 ft2,2020-01-24T06:51:13+0000,"₹ 66,00,000"
"Big deal for your need  only   2 BHK  Flat   for Sale  in  Kavesar, Th","Big deal for your need  only   2 BHK  Flat   for Sale  in  Kavesar, Thane West, Godrej Exquisite","India, Maharashtra, Mumbai",2 Bds - 2 Ba - 655 ft2,2020-05-19T15:59:21+0000,"₹ 1,27,03,045"
"Your new home is located  in  Kavesar, Thane West, Godrej Exquisite","Your new home is located  in  Kavesar, Thane West, Godrej Exquisite","India, Maharashtra, Mumbai",2 Bds - 2 Ba - 655 ft2,2020-05-19T15:59:21+0000,"₹ 1,27,02,610"
"Just for you  deal, Godrej Exquisite  2 BHK  Flat   for Sale  in  Kave","Just for you  deal, Godrej Exquisite  2 BHK  Flat   for Sale  in  Kavesar, Thane West, Godrej Exquisite","India, Maharashtra, Mumbai",2 Bds - 2 Ba - 655 ft2,2020-05-19T15:59:21+0000,"₹ 1,27,02,958"
"Best ever location 2 BHK  Flat  for Sale  in  Kavesar, Thane West, God","Best ever location 2 BHK  Flat  for Sale  in  Kavesar, Thane West, Godrej Exquisite","India, Maharashtra, Mumbai",2 Bds - 2 Ba - 655 ft2,2020-05-19T15:59:21+0000,"₹ 1,27,02,871"
"2 BHK  Flat  for Sale only in  Kavesar, Thane West, Godrej Exquisite","2 BHK  Flat  for Sale only in  Kavesar, Thane West, Godrej Exquisite","India, Maharashtra, Mumbai",2 Bds - 2 Ba - 655 ft2,2020-05-19T15:59:21+0000,"₹ 1,27,02,784"
"Luxury   2 BHK  Flat for Sale, Godrej Exquisite best price guaranteed.","Luxury   2 BHK  Flat for Sale, Godrej Exquisite best price guaranteed.*","India, Maharashtra, Mumbai",2 Bds - 2 Ba - 655 ft2,2020-05-19T15:59:21+0000,"₹ 1,27,02,697"
