name,slug,manufacturer,price,availability
2baconil - 14mg Nicotine Patch For Quit Smoking/tobacco - Step 2,2baconil---14mg-nicotine-patch-for-quit-smoking-tobacco---step-2-106054,2BACONIL,631.75,True
2baconil - 21mg Nicotine Patch For Quit Smoking/tobacco - Step 1,2baconil---21mg-nicotine-patch-for-quit-smoking-tobacco---step-1-23688,2BACONIL,798.00,True
2baconil - 7mg Nicotine Patch For Quit Smoking/tobacco - Step 3,2baconil---7mg-nicotine-patch-for-quit-smoking-tobacco---step-3-106053,2BACONIL,595.00,True
Abzorb Antifungal Soap 100gm,abzorb-antifungal-soap-100gm-232694,ABZORB,131.75,True
Acnelak 4 In 1 Face Wash 100ml,acnelak-4-in-1-face-wash-100ml-181349,ACNELAK,250.00,True
Acteen Face Wash 70gm,acteen-face-wash-70gm-23379,ACTEEN,198.00,True
Akiva Superfoods Ashwagandha Root Powder- 100 Gm - Vegan Supplement,akiva-superfoods-ashwagandha-root-powder--100-gm---vegan-supplement-3441743,Akiva Superfoods,239.04,True
Colgate Kids Toothbrush 0-2 Years - Extra Soft -1 Pc,colgate-kids-toothbrush-0-2-years---extra-soft--1-pc-192078,Colgate,27.00,True
Altris Hd Hair Hue Therapy Soft Black Ki,altris-hd-hair-hue-therapy-soft-black-ki-2273,ALTRIS HD,967.00,True
Aperlax Tablets For Relief From Constipation - 60's,aperlax-tablets-for-relief-from-constipation---60-s-213784,Essentium Phygen,539.10,True
Aqualens Comfort Contact Lens Solution 180 Ml,aqualens-comfort-contact-lens-solution-180-ml-224652,Aqualens,265.50,True
Boro Plus Aloe Gel - 60ml,boro-plus-aloe-gel---60ml-236492,Boro Plus,50.00,True
Boro Plus Aloe Gel Haldi Chandan Kesar - 150ml,boro-plus-aloe-gel-haldi-chandan-kesar---150ml-236487,Boro Plus,110.00,True
Boro Plus Aloe Gel Haldi Chandan Kesar - 60ml,boro-plus-aloe-gel-haldi-chandan-kesar---60ml-236489,Boro Plus,55.00,True
Colgate Kids Toothbrush Barbie - Extra Soft -1 Pc,colgate-kids-toothbrush-barbie---extra-soft--1-pc-192056,Colgate,79.00,True
Colgate Kids Toothpaste Barbie - Strawberry Flavor - 80gm,colgate-kids-toothpaste-barbie---strawberry-flavor---80gm-192062,Colgate,86.00,True
Colgate Plax Fresh Mint Alcohol-free Mouthwash - 250 Ml,colgate-plax-fresh-mint-alcohol-free-mouthwash---250-ml-218453,Colgate,108.00,True
Caladryl Lotion 120ml,caladryl-lotion-120ml-21950,Caladryl,68.54,True
Caladryl Lotion 60ml,caladryl-lotion-60ml-21951,Caladryl,45.36,True
Carmesi All Natural Intimate Cleanser With Olive Leaf Extracts,carmesi-all-natural-intimate-cleanser-with-olive-leaf-extracts-223261,Carmesi,284.05,True
Citro Soda Sf Sach 4gm,citro-soda-sf-sach-4gm-40919,CITRO SODA,18.98,True
