Type,Price,Address,Description,Bedrooms,Bathrooms,Agency_Name,Agency_Link,Images
Apartment,"3,999",Doha,While it lasts Ramadan Promotion-Luxury one-bedroom apartment fully furnished-B ring road,1,1,Shahawi Properties,https://www.qatarliving.com/user/shahawi-properties,https://files.qatarliving.com/styles/555x415/s3/2020/02/14/IMG_20190725_162749.jpg?itok=ijSc8Yau
Apartment,"4,500",Ain Khaled,2 Bedroom Flat in Ain Khalid,2,2,nasser_hossain,https://www.qatarliving.com/user/nasserhossain,https://files.qatarliving.com/styles/555x415/s3/2019/05/06/IMG_8937.jpg?itok=QJKHo6aV
Apartment,"3,900",Fereej Bin Omran,Affordable 2BHK Apartment Available For Family & Executive Bachelor In Bin Omran (Includin,2,2,Sky Vision Real Estate,https://www.qatarliving.com/user/sky-vision-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/01/05/1.jpeg?itok=UHsTgQdy
Apartment,"3,900",Fereej Bin Omran,Very Neat & Clean 2BHK Flat Available for executive bachelor in Bin Omran *No Commission.,2,2,Sky Vision Real Estate,https://www.qatarliving.com/user/sky-vision-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/05/18/5_0.jpeg?itok=O4aZhih0
Apartment,"4,000",Al Doha Al Jadeeda,"Cozy f/f 1bhk-Al Doha Al Jadeeda(B ring road),all bills included.",1,2,bestcare,https://www.qatarliving.com/user/bestcare,https://files.qatarliving.com/styles/555x415/s3/2020/04/27/IMG_6419.JPG?itok=CdrwCGfG
Apartment,"5,000",LUSAIL,UNFURNISHED: Classic 1BR Apt. in Lusail Fox Hills,1,1,FGREALTY,https://www.qatarliving.com/user/fgrealty,https://files.qatarliving.com/styles/555x415/s3/2020/05/20/apartment-for-rent-one-bedroom-open-kitchen-lusail-fox-hills-residential-fgrealty-image1600x_.jpg?itok=-csboEvA
Apartment,"3,600",Najma,SPACIOUS 1 BHK APARTMENT AVAILABLE AT NAJMA (BEHIND AL MEERA HYPER MARKET),1,1,classical real estate,https://www.qatarliving.com/user/classical-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/05/20/IMG_20181224_175518.jpg?itok=Gnl9HfWC
Apartment,"6,500",LUSAIL,BILLS INCLUDED: Brand New 1BR Apt. in Lusail City,1,1,FGREALTY,https://www.qatarliving.com/user/fgrealty,https://files.qatarliving.com/styles/555x415/s3/2020/05/20/apartment-for-rent-one-bedroom-side-living-area-lusail-fox-hills-residential-fgrealty-image1600x_.jpg?itok=e-ZwfYbb
Apartment,"3,500",Al Mansoura / Fereej Bin Dirham,2 Big Bedroom Apartment for Rent Mansoura Metro Rail Station Front Building.,2,1,Hemasco Real Estate,https://www.qatarliving.com/user/hemasco-real-estate,https://files.qatarliving.com/styles/555x415/s3/2019/09/01/12_2.jpeg?itok=Js0Dr3ND
Apartment,"2,800",Fereej Abdel Aziz,1 BHK Flat for rent( firoz abdul aziz-Doha),1,1,Hemasco Real Estate,https://www.qatarliving.com/user/hemasco-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/01/24/24.jpeg?itok=G10jv2Aq
Apartment,"2,200",Old Al Ghanim,"Room for rent sana signal, old al ghanim",1,1,Hemasco Real Estate,https://www.qatarliving.com/user/hemasco-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/05/17/WhatsApp-Image-2018-12-26-at-11.37.08-PM.jpeg?itok=2Cem9jOS
Apartment,"10,500",LUSAIL,EXCLUSIVE DEAL: 2BR Furnished Apt. in Waterfront,2,2,FGREALTY,https://www.qatarliving.com/user/fgrealty,https://files.qatarliving.com/styles/555x415/s3/2020/05/20/apartment-for-rent-two-bedrooms-master-bedroom-residential-fgrealty-image1600x_.jpg?itok=BVvciiVa
Apartment,"7,800",Old Al Ghanim,Bachelor 5 Bedroom Apartment In Old Al Ghanim Near KFC,5,3+,newhomeqatar,https://www.qatarliving.com/user/newhomeqatar,https://files.qatarliving.com/styles/555x415/s3/2020/02/05/84279795_198650061534241_5638301141973336064_n_0.jpg?itok=ns-zwj1t
Apartment,"4,000",Fereej Bin Mahmoud, one Month free FOR RENT Location: Bin Mahmoud Monthly Rent: 4000 QR,2,1,Darna Real Estate,https://www.qatarliving.com/user/darna-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/02/10/1_0.JPG?itok=WQRfuPyf
Apartment,"6,000",Al Sadd,For rent in Al Sadd behind Al-Ruwail Plaza Apartment consisting of 3 rooms,3,3,Darna Real Estate,https://www.qatarliving.com/user/darna-real-estate,https://files.qatarliving.com/styles/555x415/s3/2020/03/18/1_16.JPG?itok=kqTbNKBY
Apartment,"6,500",Al Sadd,3BR Un-Furnished Apartment In Al Sadd,3,3,profestate.com.qa,https://www.qatarliving.com/user/profestatecomqa,https://files.qatarliving.com/styles/555x415/s3/2019/01/23/1_3.jpeg?itok=SlygoLcP
Apartment,"4,000",Al Muntazah, Un-Furnished 2-Bedrooms Flat in Al Muntazah,2,2,profestate.com.qa,https://www.qatarliving.com/user/profestatecomqa,https://files.qatarliving.com/styles/555x415/s3/2018/09/10/1_8.jpeg?itok=3eURnCpr
Apartment,"5,000",Al Sadd,2 Bedroom Apartment Flat in Al Sadd - Unfurnished,2,2,profestate.com.qa,https://www.qatarliving.com/user/profestatecomqa,https://files.qatarliving.com/styles/555x415/s3/2019/03/24/1_4.jpeg?itok=CbQOEXbm
Apartment,"6,000",Al Sadd,"FULLY-FURNISHED, 2-BEDROOMS FLAT IN AL SADD",2,2,profestate.com.qa,https://www.qatarliving.com/user/profestatecomqa,https://files.qatarliving.com/styles/555x415/s3/2020/03/08/1_0.jpeg?itok=nltA3RQo
Apartment,"5,000",Najma,"FULLY-FURNISHED, 2-BEDROOMS FLAT IN NAJMA",2,2,profestate.com.qa,https://www.qatarliving.com/user/profestatecomqa,https://files.qatarliving.com/styles/555x415/s3/2020/03/09/Filtered-6.jpg?itok=OhFUZDtG
Apartment,"4,500",Old Airport,"[1-Month FREE] Un-Furnished, 3-Bedrooms Flat in Old Airport",3,3,profestate.com.qa,https://www.qatarliving.com/user/profestatecomqa,https://files.qatarliving.com/styles/555x415/s3/2020/03/31/Filtered-4.jpg?itok=E9JJXYxS
Apartment,"5,500",Najma,No Commission Fully Furnished 2 BHK Apartment in Najma Near Gulf Cinema,2,2,alameenqatar,https://www.qatarliving.com/user/alameenqatar,https://files.qatarliving.com/styles/555x415/s3/2019/01/22/20140917_093919.jpg?itok=pAkUuk5u
Apartment,"5,500",Fereej Bin Omran,(No Commission) Fully Furnished 2 Bedroom Apartment in Bin Omran Near Green Mosque,2,2,alameenqatar,https://www.qatarliving.com/user/alameenqatar,https://files.qatarliving.com/styles/555x415/s3/2020/02/02/WhatsApp-Image-2020-02-02-at-09.29.31.jpeg?itok=FHkzPyYZ
