Title,Link,Store,Price
"Mac OS/Windows Digital Apps: Waltr 2 $5, iStat Menu or Commander One Pro",/f/14047286-bundlehunt-spring-deal-macos-and-windows-apps-including-istat-menus-flux-7-0-waltr-2-a-better-finder-attributes-6-etc-from-2?src=featured-cat,,$6
SanDisk Extreme Portable SSD 250 GB USB 3.1 Walmart B&M $40,/f/14041472-sandisk-extreme-portable-ssd-250-gb-usb-3-1-walmart-b-m-40?src=featured-cat,Walmart,$40
Purchase Qualifying Fujifilm Camera/Lens & Recieve Luminar 4 Photo Software,/f/14045231-luminar-4-free-for-fuji-lens-owners?src=featured-cat,,Free
5TB Seagate Backup Plus USB 3.0 External Hard Drive,/f/14050355-5tb-seagate-backup-plus-usb-3-0-external-hard-drive-90-free-s-h?src=featured-cat,Staples,$90
AMD Ryzen 9 3900X 12-Core 3.8GHz AM4 Desktop Processor w/ Wraith Prism LED Cooler,/f/14051495-amd-ryzen-9-3900x-12-core-3-8ghz-am4-desktop-processor-w-wraith-prism-led-cooler-410-free-shipping?src=featured-cat,B&H Photo Video,$410
"128GB Apple iPad 7th Gen 10.2"" WiFi Tablet (2019 Model)",/f/14054792-apple-ipad-latest-model-with-wi-fi-128gb-all-colors-329-99?src=featured-cat,Best Buy,$330
Costco Members: 5TB Seagate Backup Plus Portable Hard Drive,/f/14039009-costco-members-5tb-seagate-backup-plus-portable-hard-drive-90-free-shipping?src=featured-cat,,$90
Affinity Photo software / Windows Store $25 Install up to 10x w/ MS account $24.99,/f/14057486-affinity-photo-software-windows-store-25-install-up-to-10x-w-ms-account-24-99?src=catpagev2,,$24.99
1TB AData XPG GAMMIX SSD S11 Pro Series NVMe SSD @Newegg $129,/f/14057561-1tb-adata-xpg-gammix-ssd-s11-pro-series-nvme-ssd-newegg-129?src=catpagev2,Newegg,$129
"LG 29"" UltraWide Full HD IPS Monitor -189.96, Sams club, $189.96",/f/14057504-lg-29-ultrawide-full-hd-ips-monitor-189-96-sams-club-189-96?src=catpagev2,Sam's Club,$189.96
TP-Link Archer A7 AC1750 Dual Band Gigabit Router *RFB* (+ Wifi Smart Plug) @B&H $40,/f/14053340-tp-link-archer-a7-ac1750-dual-band-gigabit-router-rfb-wifi-smart-plug-b-h-40?src=catpagev2,B&H Photo Video,$39.99
"Asus VivoBook 15 F512DA-DB34: 15.6'' FHD, Ryzen 3 3200U, 8GB DDR4, 128GB SSD, Win10S + F/S @ $299.99",/f/14057939-asus-vivobook-15-f512da-db34-15-6-fhd-ryzen-3-3200u-8gb-ddr4-128gb-ssd-win10s-f-s-299-99?src=catpagev2,,$299.99
The Premium Cisco CCNA & CCNP Lifetime Certification Prep Bundle (Lifetime Access) $20.96,/f/14055152-the-premium-cisco-ccna-ccnp-lifetime-certification-prep-bundle-lifetime-access-20-96?src=catpagev2,,
PowerSpec G162 Gaming Desktop PC AMD Ryzen 7 $769.99 + tax instore pickup only @MICROCENTER,/f/14054255-powerspec-g162-gaming-desktop-pc-amd-ryzen-7-769-99-tax-instore-pickup-only-microcenter?src=catpagev2,,$749.99
"Brother Wireless Laser Printer  HL-L2395DW,*RFB*  @Staples $75",/f/14057663-brother-wireless-laser-printer-hl-l2395dw-rfb-staples-75?src=catpagev2,Staples,$75
