Title,Address,Description,Price,Agency,Phone,Image
1 bedroom apartment for sale,"Plot 523, Yarn Court at New Mill Quarter, Hackbridge Road, Wallington, WALLINGTON SM6","One bedroom apartment situated on the first floor of Yarn Court. This apartment offers modern, open plan living, just a short walk to the Hackbridge station, ideal for commuters wanting direct access to central London. With a supermarket, proposed café within easy reach, this is an ideal purchase...","£313,995",Barratt London - New Mill Quarter,020 8022 3648,https://media.onthemarket.com/properties/8338872/1298817374/composite.jpg
3 bedroom terraced house for sale,"Shawfield Street, London, SW3","A 3 bedroom house for sale in SW3.

A beautifully presented three bedroom period house, with a roof terrace and private garden, in a desirable location just off the King's Road. 

The house offers a generous open plan reception room/dining room/kitchen with exposed beams and wooden flo...","£3,995,000",Knight Frank - Knightsbridge,020 8022 6882,https://media.onthemarket.com/properties/8628743/1298954867/composite.jpg
1 bedroom flat for sale,"Owen Street, Angel",A fantastic one bedroom apartment for sale on the second floor of this modern development. The property benefits from a private balcony overlooking the internal communal gardens.,"£575,000",Kinleigh Folkard & Hayward - Clerkenwell Sales,020 8033 2471,https://media.onthemarket.com/properties/8628696/1298954080/composite.jpg
4 bedroom semi-detached house for sale,"Five Oaks Mews, Bromley",A beautifully presented modern family home set within a gated development close to excellent schools and Grove Park Station.,"£600,000",Kinleigh Folkard & Hayward - Bromley Sales,020 8033 2480,https://media.onthemarket.com/properties/8628695/1298954067/composite.jpg
1 bedroom flat for sale,"Kingsland Road, Shoreditch, London, E2","A westerly facing first floor one bedroom apartment which has high ceilings, large windows, and situated in a convenient location providing easy access to Shoreditch’s renowned and buzzing nightlife.  Cleverly designed the apartment features open living, a sleeping area and shower room. The flat...","£440,000",Knight Frank - Aldgate,020 8022 3905,https://media.onthemarket.com/properties/8628671/1298953397/composite.jpg
1 bedroom flat for sale,"Kingsland Road, Bethnal Green, London, E2","A character filled,  top floor one bedroom apartment close to Hoxton Square and a number of Shoreditch's bars and restaurants.  A west facing , second floor one bedroom apartment which has access  to a large  decked roof terrace. The apartment offers plenty of charm to include exposed brick...","£490,000",Knight Frank - Aldgate,020 8022 3905,https://media.onthemarket.com/properties/8628665/1298953210/composite.jpg
2 bedroom flat for sale,"Langthorne Street, Fulham","Offered in good order throughout this two double bedroom split level apartment further benefits from a good size kitchen breakfast room, two bathrooms, a private balcony and good storage.","£835,000",Kinleigh Folkard & Hayward - Fulham Sales,020 8033 2464,https://media.onthemarket.com/properties/8628617/1298952227/composite.jpg
6 bedroom semi-detached house for sale,"St. James's Drive, London, SW17","A fantastic, well-proportioned 6 bedroom house with generous entertaining space, newly converted basement with large living room and off street parking for two cars.  The delightful hallway leads to an exceptional double drawing room with two bay windows. This flows through a bright open plan...","£2,950,000",Knight Frank - Wandsworth,020 8022 6767,https://media.onthemarket.com/properties/8628439/1298954758/composite.jpg
6 bedroom flat for sale,"St. Stephens Close, Avenue Road, St. John's Wood, London, NW8","A unique lateral apartment set within a prestigious secluded development, accessed via a private road leading off one of St John’s Wood premier roads, Avenue Road.",,Savills - St John's Wood & Regent's Park,020 8022 7387,https://media.onthemarket.com/properties/8626734/1298906532/composite.jpg
5 bedroom terraced house for sale,"Kent Terrace, Regent's Park, London, NW1",Magnificent Grade II* Listed residence designed by Sir John Nash,"£7,500,000",Savills - St John's Wood & Regent's Park,020 8022 7387,https://media.onthemarket.com/properties/8626733/1298906531/composite.jpg
6 bedroom semi-detached house for sale,"Westbridge Road, Battersea Park, London, SW11","An extremely rare opportunity to acquire a sensational, semi detached, six bedroom family house; finished to the highest specification with interior design and fitted cabinetry by Linley.","£5,250,000",Savills - Battersea Park,020 8022 7406,https://media.onthemarket.com/properties/3631873/1298906180/composite.jpg
2 bedroom flat for sale,"Harland House, 30-34 Woodfield Place, London, W9",Stylishly presented two bedroom flat in a modern development within walking distance of Portobello Market.,"£750,000",Savills - Maida Vale & Little Venice,020 8022 0755,https://media.onthemarket.com/properties/8626705/1298938231/composite.jpg
2 bedroom flat for sale,"Westbourne Terrace, London, W2",A classic first floor flat with fantastic proportions and a private terrace,"£1,450,000",Savills - Notting Hill,020 8022 6946,https://media.onthemarket.com/properties/8626697/1298905765/composite.jpg
5 bedroom character property for sale,"Salem Road, London, W2","The former site of Phillips Auction House, this incredible conversion designed by Kelly Hoppen has to be seen to be believed.","£12,500,000",Savills - Notting Hill,020 8022 6946,https://media.onthemarket.com/properties/8626696/1298905764/composite.jpg
7 bedroom character property for sale,"Old Park Ride, Waltham Cross, Hertfordshire, EN7",A beautifully presented Grade II listed Queen Anne home at the heart of a historic estate,"£2,950,000",Savills - Bishop's Stortford,01279 246720,https://media.onthemarket.com/properties/8626691/1298905455/composite.jpg
4 bedroom end of terrace house for sale,"Manchuria Road, London, SW11","A fantastic four bedroom end-of-terrace house, with a South-facing garden, located on a popular road in Clapham.","£1,799,000",Savills - Northcote Road,020 8022 7407,https://media.onthemarket.com/properties/8626683/1298905289/composite.jpg
3 bedroom flat for sale,"Collingham Gardens, London","A beautiful three-bedroom raised ground floor maisonette, arranged over two floors with high ceilings throughout plus access to communal gardens, found at the most desirable part of Collingham Gardens. Share of Freehold.","£1,850,000",Strutt & Parker - London South Kensington,020 8022 3066,https://media.onthemarket.com/properties/6706584/1298898891/composite.jpg
1 bedroom flat for sale,"Joubert Street, Battersea",An immaculately presented first floor maisonette set on a leafy residential street and within easy reach of both Battersea Park and Clapham Junction Stations.,"£499,950",Kinleigh Folkard & Hayward - Battersea Park Sales,020 8033 2487,https://media.onthemarket.com/properties/8626034/1298888727/composite.jpg
5 bedroom detached house for sale,"Canbury Avenue, Kingston upon Thames, Surrey, KT2",A beautiful five bedroom detached family house in Kingston.,"£1,250,000",Savills - Wimbledon,020 8022 6587,https://media.onthemarket.com/properties/8625916/1298886884/composite.jpg
4 bedroom end of terrace house for sale,"Newstead Way, London, SW19","A spacious family house near Wimbledon Village, Common and the AELTC.","£1,550,000",Savills - Wimbledon,020 8022 6587,https://media.onthemarket.com/properties/8625915/1298886861/composite.jpg
5 bedroom terraced house for sale,"Worple Road, Wimbledon, London, SW20","A superb five bedroom period house with a beautiful open plan kitchen/dining room, impressive garden and off-street parking, located approx 500m to the mainline station.","£1,350,000",Savills - Wimbledon,020 8022 6587,https://media.onthemarket.com/properties/8625914/1298886859/composite.jpg
